"Player","Injury","Game Status","Position","Week","nameConvert","played","Team"
"Stewart, Jonathan","leg","Day-to-Day","RB",12,"Jonathan Stewart","yes","CAR"
"Bryant, Dez","foot, knee","Probable","WR",12,"Dez Bryant","yes","DAL"
"Butler, Brice","hamstring","Probable","WR",12,"Brice Butler","no","DAL"
"McFadden, Darren","groin","Probable","RB",12,"Darren McFadden","yes","DAL"
"Romo, Tony","back, shoulder","Probable","QB",12,"Tony Romo","yes","DAL"
"Carey, Ka'Deem","head","Out","RB",12,"Ka'Deem Carey","no","CHI"
"Cutler, Jay","hamstring","Day-to-Day","QB",12,"Jay Cutler","yes","CHI"
"Jeffery, Alshon","groin","Questionable","WR",12,"Alshon Jeffery","yes","CHI"
"Royal, Eddie","knee","Out","WR",12,"Eddie Royal","no","CHI"
"White, Kevin","leg stress fracture","Day-to-Day","WR",12,"Kevin White","no",NA
"Abbrederis, Jared","rib, chest","Out","WR",12,"Jared Abbrederis","no","GB"
"Adams, Davante","ankle","Probable","WR",12,"Davante Adams","yes","GB"
"Lacy, Eddie","ankle","Probable","RB",12,"Eddie Lacy","yes","GB"
"Montgomery, Ty","ankle","Out","WR",12,"Ty Montgomery","no","GB"
"Nelson, Jordy","torn right ACL","Day-to-Day","WR",12,"Jordy Nelson","no",NA
"Quarless, Andrew","sprained MCL","Injured Reserve (DFR)","TE",12,"Andrew Quarless","no","GB"
"Ripkowski, Aaron","ankle","Probable","RB",12,"Aaron Ripkowski","no","GB"
"Bridgewater, Teddy","left shoulder","Probable","QB",12,"Teddy Bridgewater","yes","MIN"
"Johnson, Charles","ribs","Day-to-Day","WR",12,"Charles Johnson","no","MIN"
"Bryant, Matt","right quadriceps","Out","K",12,"Matt Bryant","no","ATL"
"Coleman, Tevin","hamstring","Day-to-Day","RB",12,"Tevin Coleman","yes","ATL"
"Freeman, Devonta","concussion","Out","RB",12,"Devonta Freeman","no","ATL"
"Hester, Devin","toe","Injured Reserve (DFR)","WR",12,"Devin Hester","no",NA
"Tamme, Jacob","concussion","Day-to-Day","TE",12,"Jacob Tamme","yes","ATL"
"Gurley, Todd","knee","Day-to-Day","RB",12,"Todd Gurley","yes","STL"
"Keenum, Case","concussion","Questionable","QB",12,"Case Keenum","no","STL"
"Mason, Tre","hamstring","Day-to-Day","RB",12,"Tre Mason","yes","STL"
"Zuerlein, Greg","right groin","Questionable","K",12,"Greg Zuerlein","no","STL"
"Dalton, Andy","groin","Probable","QB",12,"Andy Dalton","yes","CIN"
"Eifert, Tyler","knee","Probable","TE",12,"Tyler Eifert","yes","CIN"
"Brees, Drew","right shoulder","Day-to-Day","QB",12,"Drew Brees","yes","NO"
"Colston, Marques","shoulder","Day-to-Day","WR",12,"Marques Colston","yes","NO"
"Ingram, Mark","shoulder","Probable","RB",12,"Mark Ingram","yes","NO"
"Snead, Willie","knee","Probable","WR",12,"Willie Snead","yes","NO"
"Blue, Alfred","back","Probable","RB",12,"Alfred Blue","yes","HOU"
"Foster, Arian","torn right Achilles","Day-to-Day","RB",12,"Arian Foster","no","HOU"
"Griffin, Ryan","sprained MCL","Injured Reserve (DFR)","TE",12,"Ryan Griffin","yes","HOU"
"Hoyer, Brian","concussion","Probable","QB",12,"Brian Hoyer","yes","HOU"
"Miller, Lamar","ankle","Day-to-Day","RB",12,"Lamar Miller","yes","MIA"
"Polk, Chris","knee, hamstring","Probable","RB",12,"Chris Polk","yes","HOU"
"Evans, Mike","hamstring","Day-to-Day","WR",12,"Mike Evans","yes","TB"
"Seferian-Jenkins, Austin","shoulder","Doubtful","TE",12,"Austin Seferian-Jenkins","no","TB"
"Allen, Dwayne","ankle","Day-to-Day","TE",12,"Dwayne Allen","yes","IND"
"Dorsett, Phillip","ankle","Out","WR",12,"Phillip Dorsett","no","IND"
"Gore, Frank","ankle","Probable","RB",12,"Frank Gore","yes","IND"
"Herron, Daniel","shoulder","Day-to-Day","RB",12,"Daniel Herron","no",NA
"Hilton, T.Y.","bruised knee","Day-to-Day","WR",12,"T.Y. Hilton","yes","IND"
"Luck, Andrew","abdomen, kidney","Out","QB",12,"Andrew Luck","no","IND"
"Floyd, Malcom","shoulder","Probable","WR",12,"Malcom Floyd","yes","SD"
"Gates, Antonio","hip","Probable","TE",12,"Antonio Gates","yes","SD"
"Gerhart, Toby","groin","Probable","RB",12,"Toby Gerhart","no","JAX"
"Greene, Rashad","right thumb surgery","Injured Reserve (DFR)","WR",12,"Rashad Greene","yes","JAX"
"Hurns, Allen","foot, thigh","Probable","WR",12,"Allen Hurns","yes","JAX"
"Ivory, Chris","groin","Day-to-Day","RB",12,"Chris Ivory","yes","NYJ"
"Jacobs, Nic","hamstring","Probable","TE",12,"Nic Jacobs","no","JAX"
"Lee, Marqise","hamstring","Day-to-Day","WR",12,"Marqise Lee","yes","JAX"
"Pierce, Bernard","calf","Doubtful","RB",12,"Bernard Pierce","no","JAX"
"Robinson, Allen","leg","Day-to-Day","WR",12,"Allen Robinson","yes","JAX"
"Robinson, Denard","left knee","Day-to-Day","RB",12,"Denard Robinson","yes","JAX"
"Sterling, Neal","illness","Doubtful","WR",12,"Neal Sterling","no",NA
"Thomas, Julius","left index finger","Day-to-Day","TE",12,"Julius Thomas","yes","JAX"
"Yeldon, T.J.","foot","Day-to-Day","RB",12,"T.J. Yeldon","yes","JAX"
"Easley, Marcus","concussion","Out","WR",12,"Marcus Easley","no","BUF"
"Hankerson, Leonard","hamstring","Out","WR",12,"Leonard Hankerson","no","ATL"
"McCoy, LeSean","hamstring","Day-to-Day","RB",12,"LeSean McCoy","yes","BUF"
"Taylor, Tyrod","right shoulder","Probable","QB",12,"Tyrod Taylor","yes","BUF"
"Watkins, Sammy","ankle","Day-to-Day","WR",12,"Sammy Watkins","yes","BUF"
"Williams, Karlos","concussion","Day-to-Day","RB",12,"Karlos Williams","yes","BUF"
"Conley, Chris","hand","Probable","WR",12,"Chris Conley","no","KC"
"Kelce, Travis","groin","Questionable","TE",12,"Travis Kelce","yes","KC"
"Maclin, Jeremy","concussion","Day-to-Day","WR",12,"Jeremy Maclin","yes","KC"
"Parker, Brian","ankle, back","Probable","TE",12,"Brian Parker","no","KC"
"Thomas, De'Anthony","concussion","Out","WR",12,"De'Anthony Thomas","no","KC"
"West, Charcandrick","hamstring","Questionable","RB",12,"Charcandrick West","no","KC"
"Jones, Taiwan","knee","Questionable","RB",12,"Taiwan Jones","no","OAK"
"Smith, Lee","wrist","Probable","TE",12,"Lee Smith","yes","OAK"
"Cobb, David","calf","Injured Reserve (DFR)","RB",12,"David Cobb","yes","TEN"
"Mariota, Marcus","knee","Day-to-Day","QB",12,"Marcus Mariota","yes","TEN"
"McCluster, Dexter","knee","Out","RB",12,"Dexter McCluster","no","TEN"
"Murray, DeMarco","hamstring","Day-to-Day","RB",12,"DeMarco Murray","yes","PHI"
"Walker, Delanie","hand","Day-to-Day","TE",12,"Delanie Walker","yes","TEN"
"Wright, Kendall","knee","Probable","WR",12,"Kendall Wright","yes","TEN"
"Beckham Jr., Odell","hamstring","Day-to-Day","WR",12,"Odell Beckham Jr.","yes","NYG"
"Donnell, Larry","neck","Out","TE",12,"Larry Donnell","no","NYG"
"Davis, Vernon","knee","Day-to-Day","TE",12,"Vernon Davis","yes","SF"
"Jackson, DeSean","strained left hamstring","Day-to-Day","WR",12,"DeSean Jackson","yes","WAS"
"Jones, Matt","sprained toe","Day-to-Day","RB",12,"Matt Jones","yes","WAS"
"Reed, Jordan","concussion","Day-to-Day","TE",12,"Jordan Reed","yes","WAS"
"Roberts, Andre","ankle","Probable","WR",12,"Andre Roberts","no","WAS"
"Ajayi, Jay","elbow","Probable","RB",12,"Jay Ajayi","yes","MIA"
"Cameron, Jordan","groin","Day-to-Day","TE",12,"Jordan Cameron","yes","MIA"
"Landry, Jarvis","knee","Questionable","WR",12,"Jarvis Landry","yes","MIA"
"Amaro, Jace","torn labrum","Day-to-Day","TE",12,"Jace Amaro","no",NA
"Davis, Kellen","not injury related, hand","Probable","TE",12,"Kellen Davis","no","NYJ"
"Decker, Eric","knee","Probable","WR",12,"Eric Decker","yes","NYJ"
"Fitzpatrick, Ryan","left thumb","Probable","QB",12,"Ryan Fitzpatrick","yes","NYJ"
"Forte, Matt","right knee","Day-to-Day","RB",12,"Matt Forte","yes","CHI"
"Marshall, Brandon","toe","Probable","WR",12,"Brandon Marshall","yes","NYJ"
"Powell, Bilal","ankle","Day-to-Day","RB",12,"Bilal Powell","yes","NYJ"
"Smith, Devin","foot","Probable","WR",12,"Devin Smith","yes","NYJ"
"Smith, Geno","broken jaw","Day-to-Day","QB",12,"Geno Smith","no","NYJ"
"Brown, John","hamstring","Probable","WR",12,"John Brown","yes","ARI"
"Ellington, Andre","left foot","Day-to-Day","RB",12,"Andre Ellington","yes","ARI"
"Fells, Darren","shoulder","Day-to-Day","TE",12,"Darren Fells","no","ARI"
"Fitzgerald, Larry","ankle","Probable","WR",12,"Larry Fitzgerald","yes","ARI"
"Floyd, Michael","hamstring","Questionable","WR",12,"Michael Floyd","yes","ARI"
"Johnson, Chris","knee","Probable","RB",12,"Chris Johnson","yes","ARI"
"Momah, Ifeanyi","knee","Day-to-Day","TE",12,"Ifeanyi Momah","no",NA
"Boldin, Anquan","hamstring","Probable","WR",12,"Anquan Boldin","yes","SF"
"Hyde, Carlos","foot","Out","RB",12,"Carlos Hyde","no","SF"
"Bell, Le'Veon","right knee","Day-to-Day","RB",12,"Le'Veon Bell","no","PIT"
"Green, Ladarius","ankle","Probable","TE",12,"Ladarius Green","yes","SD"
"Roethlisberger, Ben","left foot","Day-to-Day","QB",12,"Ben Roethlisberger","yes","PIT"
"Spaeth, Matt","knee","Questionable","TE",12,"Matt Spaeth","yes","PIT"
"Suisham, Shaun","torn left ACL","Day-to-Day","K",12,"Shaun Suisham","no",NA
"Baldwin, Doug","ankle","Probable","WR",12,"Doug Baldwin","yes","SEA"
"Graham, Jimmy","torn right patellar tendon","Day-to-Day","TE",12,"Jimmy Graham","yes","SEA"
"Lynch, Marshawn","abdomen","Out","RB",12,"Marshawn Lynch","no","SEA"
"Rawls, Thomas","knee","Probable","RB",12,"Thomas Rawls","yes","SEA"
"Richardson, Paul","hamstring","Out","WR",12,"Paul Richardson","no","SEA"
"Amendola, Danny","knee","Questionable","WR",12,"Danny Amendola","no","NE"
"Edelman, Julian","foot","Out","WR",12,"Julian Edelman","no","NE"
"Gronkowski, Rob","right knee","Day-to-Day","TE",12,"Rob Gronkowski","yes","NE"
"Martin, Keshawn","hamstring","Questionable","WR",12,"Keshawn Martin","yes","NE"
"Washington, Nate","hip","Probable","WR",12,"Nate Washington","yes","HOU"
"Williams, Michael","knee","Questionable","TE",12,"Michael Williams","no","NE"
"Daniels, Owen","knee","Probable","TE",12,"Owen Daniels","yes","DEN"
"Green, Virgil","finger","Probable","TE",12,"Virgil Green","no","DEN"
"Manning, Peyton","foot","Out","QB",12,"Peyton Manning","no","DEN"
"Sanders, Emmanuel","ankle, finger","Probable","WR",12,"Emmanuel Sanders","yes","DEN"
"Boyle, Nick","foot","Probable","TE",12,"Nick Boyle","yes","BAL"
"Brown, Marlon","back","Doubtful","WR",12,"Marlon Brown","no","BAL"
"Campanaro, Michael","back","Day-to-Day","WR",12,"Michael Campanaro","no","BAL"
"Flacco, Joe","torn left ACL, MCL","Day-to-Day","QB",12,"Joe Flacco","no","BAL"
"Ford, Chase","shoulder","Doubtful","TE",12,"Chase Ford","no",NA
"Forsett, Justin","broken right arm","Day-to-Day","RB",12,"Justin Forsett","no","BAL"
"Gillmore, Crockett","calf","Day-to-Day","TE",12,"Crockett Gillmore","yes","BAL"
"Matthews, Chris","shoulder","Day-to-Day","WR",12,"Chris Matthews","no","SEA"
"Pitta, Dennis","hip","Day-to-Day","TE",12,"Dennis Pitta","no",NA
"Smith Sr., Steve","torn right Achilles tendon","Day-to-Day","WR",12,"Steve Smith Sr.","no",NA
"Wallace, Mike","knee","Day-to-Day","WR",12,"Mike Wallace","no","MIN"
"Gabriel, Taylor","concussion","Out","WR",12,"Taylor Gabriel","no","CLE"
"Griffin III, Robert","concussion","Day-to-Day","QB",12,"Robert Griffin III","no",NA
"Hawkins, Andrew","concussion","Out","WR",12,"Andrew Hawkins","no","CLE"
"Manziel, Johnny","right elbow","Probable","QB",12,"Johnny Manziel","no","CLE"
"McCown, Josh","ribs","Probable","QB",12,"Josh McCown","yes","CLE"
"Shaw, Connor","right thumb surgery","Day-to-Day","QB",12,"Connor Shaw","no",NA
"Abbrederis, Jared","rib, chest","Probable","WR",13,"Jared Abbrederis","yes","GB"
"Adams, Davante","ankle","Day-to-Day","WR",13,"Davante Adams","yes","GB"
"Lacy, Eddie","groin","Day-to-Day","RB",13,"Eddie Lacy","yes","GB"
"Montgomery, Ty","ankle","Out","WR",13,"Ty Montgomery","no","GB"
"Nelson, Jordy","torn right ACL","Day-to-Day","WR",13,"Jordy Nelson","no",NA
"Quarless, Andrew","sprained MCL","Injured Reserve (DFR)","TE",13,"Andrew Quarless","no","GB"
"Bell, Joique","ankle","Day-to-Day","RB",13,"Joique Bell","yes","DET"
"Ebron, Eric","knee","Day-to-Day","TE",13,"Eric Ebron","yes","DET"
"Johnson, Calvin","ankle","Questionable","WR",13,"Calvin Johnson","yes","DET"
"Moore, Lance","ankle","Out","WR",13,"Lance Moore","no","DET"
"Prater, Matt","illness","Questionable","K",13,"Matt Prater","yes","DET"
"Stafford, Matthew","left hand","Day-to-Day","QB",13,"Matthew Stafford","yes","DET"
"Tate, Golden","calf","Probable","WR",13,"Golden Tate","yes","DET"
"Blue, Alfred","back","Probable","RB",13,"Alfred Blue","yes","HOU"
"Foster, Arian","torn right Achilles","Day-to-Day","RB",13,"Arian Foster","no","HOU"
"Griffin, Ryan","sprained MCL","Injured Reserve (DFR)","TE",13,"Ryan Griffin","yes","HOU"
"Hopkins, DeAndre","hamstring","Probable","WR",13,"DeAndre Hopkins","yes","HOU"
"Miller, Lamar","ankle","Day-to-Day","RB",13,"Lamar Miller","yes","MIA"
"Osweiler, Brock","quadriceps","Probable","QB",13,"Brock Osweiler","yes","DEN"
"Easley, Marcus","concussion","Probable","WR",13,"Marcus Easley","no","BUF"
"McCoy, LeSean","hamstring","Day-to-Day","RB",13,"LeSean McCoy","yes","BUF"
"Taylor, Tyrod","right shoulder","Probable","QB",13,"Tyrod Taylor","yes","BUF"
"Watkins, Sammy","ankle","Day-to-Day","WR",13,"Sammy Watkins","yes","BUF"
"Williams, Karlos","shoulder","Out","RB",13,"Karlos Williams","no","BUF"
"Bell, Blake","finger","Probable","TE",13,"Blake Bell","yes","SF"
"Boldin, Anquan","hamstring","Probable","WR",13,"Anquan Boldin","yes","SF"
"Celek, Garrett","ankle","Out","TE",13,"Garrett Celek","no","SF"
"Ellington, Bruce","wrist","Probable","WR",13,"Bruce Ellington","yes","SF"
"Hyde, Carlos","foot","Out","RB",13,"Carlos Hyde","no","SF"
"Smith, Torrey","back","Probable","WR",13,"Torrey Smith","yes","SF"
"Carey, Ka'Deem","concussion","Probable","RB",13,"Ka'Deem Carey","yes","CHI"
"Cutler, Jay","illness","Probable","QB",13,"Jay Cutler","yes","CHI"
"Jeffery, Alshon","calf","Day-to-Day","WR",13,"Alshon Jeffery","yes","CHI"
"Miller, Zach","rib","Questionable","TE",13,"Zach Miller","yes","CHI"
"Royal, Eddie","knee","Questionable","WR",13,"Eddie Royal","no","CHI"
"White, Kevin","leg stress fracture","Day-to-Day","WR",13,"Kevin White","no",NA
"Wilson, Marquess","foot","Out","WR",13,"Marquess Wilson","no","CHI"
"Eifert, Tyler","neck","Doubtful","TE",13,"Tyler Eifert","no","CIN"
"Gabriel, Taylor","concussion","Out","WR",13,"Taylor Gabriel","no","CLE"
"Griffin III, Robert","concussion","Day-to-Day","QB",13,"Robert Griffin III","no",NA
"Hawkins, Andrew","concussion","Out","WR",13,"Andrew Hawkins","no","CLE"
"Manziel, Johnny","right elbow","Probable","QB",13,"Johnny Manziel","no","CLE"
"Shaw, Connor","right thumb surgery","Day-to-Day","QB",13,"Connor Shaw","no",NA
"Brown, Marlon","back","Doubtful","WR",13,"Marlon Brown","no","BAL"
"Campanaro, Michael","back","Day-to-Day","WR",13,"Michael Campanaro","no","BAL"
"Flacco, Joe","torn left ACL, MCL","Day-to-Day","QB",13,"Joe Flacco","no","BAL"
"Forsett, Justin","broken right arm","Day-to-Day","RB",13,"Justin Forsett","no","BAL"
"Gillmore, Crockett","calf","Day-to-Day","TE",13,"Crockett Gillmore","yes","BAL"
"Matthews, Chris","shoulder","Day-to-Day","WR",13,"Chris Matthews","no","SEA"
"Pitta, Dennis","hip","Day-to-Day","TE",13,"Dennis Pitta","no",NA
"Smith Sr., Steve","torn right Achilles tendon","Day-to-Day","WR",13,"Steve Smith Sr.","no",NA
"Wallace, Mike","knee","Day-to-Day","WR",13,"Mike Wallace","yes","MIN"
"Williams, Maxx","concussion","Out","TE",13,"Maxx Williams","no","BAL"
"Ajayi, Jay","shoulder","Probable","RB",13,"Jay Ajayi","yes","MIA"
"Cameron, Jordan","groin","Day-to-Day","TE",13,"Jordan Cameron","yes","MIA"
"Landry, Jarvis","knee","Probable","WR",13,"Jarvis Landry","yes","MIA"
"Sims, Dion","neck","Probable","TE",13,"Dion Sims","yes","MIA"
"Stills, Kenny","ankle","Questionable","WR",13,"Kenny Stills","no","MIA"
"Lynch, Marshawn","abdomen","Out","RB",13,"Marshawn Lynch","no","SEA"
"Richardson, Paul","hamstring","Out","WR",13,"Paul Richardson","no","SEA"
"Tukuafu, Will","concussion","Questionable","RB",13,"Will Tukuafu","no",NA
"Bridgewater, Teddy","concussion","Day-to-Day","QB",13,"Teddy Bridgewater","yes","MIN"
"Johnson, Charles","ribs","Day-to-Day","WR",13,"Charles Johnson","no","MIN"
"Amaro, Jace","torn labrum","Day-to-Day","TE",13,"Jace Amaro","no",NA
"Decker, Eric","knee","Probable","WR",13,"Eric Decker","yes","NYJ"
"Fitzpatrick, Ryan","left thumb","Probable","QB",13,"Ryan Fitzpatrick","yes","NYJ"
"Forte, Matt","right knee","Day-to-Day","RB",13,"Matt Forte","yes","CHI"
"Marshall, Brandon","toe, ankle","Probable","WR",13,"Brandon Marshall","yes","NYJ"
"Powell, Bilal","ankle","Day-to-Day","RB",13,"Bilal Powell","yes","NYJ"
"Smith, Geno","broken jaw","Day-to-Day","QB",13,"Geno Smith","no","NYJ"
"Beckham Jr., Odell","hamstring","Day-to-Day","WR",13,"Odell Beckham Jr.","yes","NYG"
"Donnell, Larry","neck","Out","TE",13,"Larry Donnell","no","NYG"
"Whitlock, Nikita","not injury related","Probable","RB",13,"Nikita Whitlock","no",NA
"Brown, John","hamstring","Probable","WR",13,"John Brown","yes","ARI"
"Ellington, Andre","toe","Out","RB",13,"Andre Ellington","no","ARI"
"Fells, Darren","shoulder","Day-to-Day","TE",13,"Darren Fells","yes","ARI"
"Fitzgerald, Larry","ankle","Probable","WR",13,"Larry Fitzgerald","yes","ARI"
"Floyd, Michael","hamstring","Questionable","WR",13,"Michael Floyd","yes","ARI"
"Johnson, Chris","fractured left tibia","Injured Reserve (DFR)","RB",13,"Chris Johnson","no","ARI"
"Momah, Ifeanyi","knee","Day-to-Day","TE",13,"Ifeanyi Momah","no",NA
"Gurley, Todd","knee","Day-to-Day","RB",13,"Todd Gurley","yes","STL"
"Keenum, Case","concussion","Questionable","QB",13,"Case Keenum","no","STL"
"Mason, Tre","hamstring","Day-to-Day","RB",13,"Tre Mason","yes","STL"
"Zuerlein, Greg","hip","Doubtful","K",13,"Greg Zuerlein","no","STL"
"Bryant, Matt","right quadriceps","Out","K",13,"Matt Bryant","no","ATL"
"Coleman, Tevin","hamstring","Day-to-Day","RB",13,"Tevin Coleman","yes","ATL"
"Freeman, Devonta","concussion","Probable","RB",13,"Devonta Freeman","yes","ATL"
"Hester, Devin","toe","Probable","WR",13,"Devin Hester","no",NA
"Moeaki, Tony","hamstring","Out","TE",13,"Tony Moeaki","no","ATL"
"Tamme, Jacob","concussion","Day-to-Day","TE",13,"Jacob Tamme","yes","ATL"
"Evans, Mike","hamstring","Day-to-Day","WR",13,"Mike Evans","yes","TB"
"Jackson, Vincent","knee","Probable","WR",13,"Vincent Jackson","yes","TB"
"Seferian-Jenkins, Austin","shoulder","Questionable","TE",13,"Austin Seferian-Jenkins","yes","TB"
"Stocker, Luke","back","Questionable","TE",13,"Luke Stocker","yes","TB"
"Gerhart, Toby","groin","Out","RB",13,"Toby Gerhart","no","JAX"
"Greene, Rashad","right thumb surgery","Injured Reserve (DFR)","WR",13,"Rashad Greene","yes","JAX"
"Hurns, Allen","concussion, foot, thigh","Out","WR",13,"Allen Hurns","no","JAX"
"Ivory, Chris","groin","Day-to-Day","RB",13,"Chris Ivory","yes","NYJ"
"Lee, Marqise","hamstring","Day-to-Day","WR",13,"Marqise Lee","yes","JAX"
"Lewis, Marcedes","ankle","Probable","TE",13,"Marcedes Lewis","yes","JAX"
"Myers, Jason","back","Probable","K",13,"Jason Myers","yes","JAX"
"Pierce, Bernard","calf","Questionable","RB",13,"Bernard Pierce","no","JAX"
"Robinson, Allen","leg","Day-to-Day","WR",13,"Allen Robinson","yes","JAX"
"Robinson, Denard","left knee","Day-to-Day","RB",13,"Denard Robinson","yes","JAX"
"Sterling, Neal","illness","Questionable","WR",13,"Neal Sterling","no",NA
"Thomas, Julius","left index finger","Day-to-Day","TE",13,"Julius Thomas","yes","JAX"
"Walters, Bryan","back","Questionable","WR",13,"Bryan Walters","yes","JAX"
"Yeldon, T.J.","foot","Day-to-Day","RB",13,"T.J. Yeldon","yes","JAX"
"Cobb, David","calf","Injured Reserve (DFR)","RB",13,"David Cobb","yes","TEN"
"Fasano, Anthony","shoulder","Probable","TE",13,"Anthony Fasano","no","TEN"
"Mariota, Marcus","knee","Day-to-Day","QB",13,"Marcus Mariota","yes","TEN"
"Matthews, Rishard","ribs","Out","WR",13,"Rishard Matthews","no","MIA"
"McCluster, Dexter","knee","Out","RB",13,"Dexter McCluster","no","TEN"
"Murray, DeMarco","hamstring","Day-to-Day","RB",13,"DeMarco Murray","yes","PHI"
"Walker, Delanie","hand","Day-to-Day","TE",13,"Delanie Walker","yes","TEN"
"Wright, Kendall","knee","Day-to-Day","WR",13,"Kendall Wright","yes","TEN"
"Conley, Chris","hand","Probable","WR",13,"Chris Conley","no","KC"
"Kelce, Travis","groin","Probable","TE",13,"Travis Kelce","yes","KC"
"Maclin, Jeremy","concussion","Day-to-Day","WR",13,"Jeremy Maclin","yes","KC"
"Thomas, De'Anthony","concussion","Out","WR",13,"De'Anthony Thomas","no","KC"
"Ware, Spencer","hamstring","Probable","RB",13,"Spencer Ware","yes","KC"
"West, Charcandrick","hamstring","Probable","RB",13,"Charcandrick West","yes","KC"
"Jones, Taiwan","knee","Doubtful","RB",13,"Taiwan Jones","no","OAK"
"Daniels, Owen","knee","Probable","TE",13,"Owen Daniels","yes","DEN"
"Fowler, Bennie","ankle","Questionable","WR",13,"Bennie Fowler","no","DEN"
"Green, Virgil","finger","Probable","TE",13,"Virgil Green","yes","DEN"
"Hillman, Ronnie","tooth","Probable","RB",13,"Ronnie Hillman","yes","DEN"
"Latimer, Cody","not injury related","Probable","WR",13,"Cody Latimer","no","DEN"
"Manning, Peyton","foot","Out","QB",13,"Peyton Manning","no","DEN"
"Sanders, Emmanuel","ankle, finger","Probable","WR",13,"Emmanuel Sanders","yes","DEN"
"Floyd, Malcom","shoulder","Day-to-Day","WR",13,"Malcom Floyd","yes","SD"
"Benjamin, Kelvin","torn left ACL","Day-to-Day","WR",13,"Kelvin Benjamin","no",NA
"Brown, Corey","shoulder","Probable","WR",13,"Corey Brown","no",NA
"Cotchery, Jerricho","high ankle sprain","Day-to-Day","WR",13,"Jerricho Cotchery","yes","CAR"
"Stewart, Jonathan","leg","Day-to-Day","RB",13,"Jonathan Stewart","yes","CAR"
"Brees, Drew","right shoulder","Day-to-Day","QB",13,"Drew Brees","yes","NO"
"Colston, Marques","not injury related","Probable","WR",13,"Marques Colston","yes","NO"
"Ingram, Mark","shoulder","Probable","RB",13,"Mark Ingram","yes","NO"
"Snead, Willie","calf","Doubtful","WR",13,"Willie Snead","no","NO"
"Agholor, Nelson","hip","Probable","WR",13,"Nelson Agholor","no","PHI"
"Ajirotutu, Seyi","calf","Probable","WR",13,"Seyi Ajirotutu","no","PHI"
"Bradford, Sam","left shoulder","Probable","QB",13,"Sam Bradford","yes","PHI"
"Ertz, Zach","concussion","Probable","TE",13,"Zach Ertz","yes","PHI"
"Huff, Josh","concussion","Probable","WR",13,"Josh Huff","no","PHI"
"Mathews, Ryan","concussion, groin","Out","RB",13,"Ryan Mathews","no","PHI"
"Randle, Rueben","hamstring","Day-to-Day","WR",13,"Rueben Randle","yes","NYG"
"Amendola, Danny","knee","Questionable","WR",13,"Danny Amendola","yes","NE"
"Bennett, Martellus","ribs","Probable","TE",13,"Martellus Bennett","yes","CHI"
"Chandler, Scott","knee","Probable","TE",13,"Scott Chandler","yes","NE"
"Edelman, Julian","foot","Out","WR",13,"Julian Edelman","no","NE"
"Gronkowski, Rob","knee","Out","TE",13,"Rob Gronkowski","no","NE"
"Williams, Michael","knee","Questionable","TE",13,"Michael Williams","no","NE"
"Allen, Dwayne","ankle","Day-to-Day","TE",13,"Dwayne Allen","yes","IND"
"Dorsett, Phillip","ankle","Out","WR",13,"Phillip Dorsett","no","IND"
"Herron, Daniel","shoulder","Day-to-Day","RB",13,"Daniel Herron","no",NA
"Hilton, T.Y.","bruised knee","Day-to-Day","WR",13,"T.Y. Hilton","yes","IND"
"Luck, Andrew","abdomen, kidney","Out","QB",13,"Andrew Luck","no","IND"
"Bell, Le'Veon","right knee","Day-to-Day","RB",13,"Le'Veon Bell","no","PIT"
"Bryant, Martavis","hip","Probable","WR",13,"Martavis Bryant","yes","PIT"
"Green, Ladarius","ankle","Probable","TE",13,"Ladarius Green","yes","SD"
"Miller, Heath","rib","Questionable","TE",13,"Heath Miller","no","PIT"
"Roethlisberger, Ben","concussion","Probable","QB",13,"Ben Roethlisberger","yes","PIT"
"Spaeth, Matt","knee","Probable","TE",13,"Matt Spaeth","no","PIT"
"Suisham, Shaun","torn left ACL","Day-to-Day","K",13,"Shaun Suisham","no",NA
"Bryant, Dez","foot, knee","Probable","WR",13,"Dez Bryant","yes","DAL"
"Romo, Tony","shoulder","Out","QB",13,"Tony Romo","no","DAL"
"Carrier, Derek","ankle, Achilles","Questionable","TE",13,"Derek Carrier","no","WAS"
"Davis, Vernon","knee","Day-to-Day","TE",13,"Vernon Davis","yes","SF"
"Jackson, DeSean","illness","Probable","WR",13,"DeSean Jackson","yes","WAS"
"Jones, Matt","sprained toe","Day-to-Day","RB",13,"Matt Jones","yes","WAS"
"Reed, Jordan","concussion","Day-to-Day","TE",13,"Jordan Reed","yes","WAS"
"Roberts, Andre","knee","Questionable","WR",13,"Andre Roberts","no","WAS"
"Thompson, Chris","shoulder","Questionable","RB",13,"Chris Thompson","yes","WAS"
"Bridgewater, Teddy","concussion","Day-to-Day","QB",14,"Teddy Bridgewater","yes","MIN"
"Johnson, Charles","ribs","Day-to-Day","WR",14,"Charles Johnson","no","MIN"
"Brown, John","hamstring","Probable","WR",14,"John Brown","yes","ARI"
"Ellington, Andre","toe","Out","RB",14,"Andre Ellington","no","ARI"
"Fells, Darren","shoulder","Day-to-Day","TE",14,"Darren Fells","yes","ARI"
"Fitzgerald, Larry","ankle","Probable","WR",14,"Larry Fitzgerald","yes","ARI"
"Floyd, Michael","hamstring","Probable","WR",14,"Michael Floyd","yes","ARI"
"Gresham, Jermaine","knee","Doubtful","TE",14,"Jermaine Gresham","no","ARI"
