"Player","Injury","Game Status","Position","Week","nameConvert","played","Team"
"Agholor, Nelson","ankle","Probable","WR",10,"Nelson Agholor","yes","PHI"
"Burton, Trey","hamstring","Probable","TE",10,"Trey Burton","no","PHI"
"Cooper, Riley","toe","Probable","WR",10,"Riley Cooper","no","PHI"
"Mathews, Ryan","groin","Probable","RB",10,"Ryan Mathews","yes","PHI"
"Randle, Rueben","hamstring","Day-to-Day","WR",10,"Rueben Randle","yes","NYG"
"Griffin III, Robert","concussion","Day-to-Day","QB",10,"Robert Griffin III","no",NA
"Hartline, Brian","concussion","Probable","WR",10,"Brian Hartline","yes","CLE"
"Hawkins, Andrew","concussion","Probable","WR",10,"Andrew Hawkins","yes","CLE"
"Manziel, Johnny","right elbow","Probable","QB",10,"Johnny Manziel","yes","CLE"
"McCown, Josh","ribs","Questionable","QB",10,"Josh McCown","no","CLE"
"Shaw, Connor","right thumb surgery","Day-to-Day","QB",10,"Connor Shaw","no",NA
"Bell, Le'Veon","right knee","Day-to-Day","RB",10,"Le'Veon Bell","no","PIT"
"Green, Ladarius","concussion","Day-to-Day","TE",10,"Ladarius Green","no","SD"
"Heyward-Bey, Darrius","hamstring","Probable","WR",10,"Darrius Heyward-Bey","no","PIT"
"Miller, Heath","not injury related","Probable","TE",10,"Heath Miller","yes","PIT"
"Roethlisberger, Ben","foot","Questionable","QB",10,"Ben Roethlisberger","yes","PIT"
"Spaeth, Matt","knee","Out","TE",10,"Matt Spaeth","no","PIT"
"Suisham, Shaun","torn left ACL","Day-to-Day","K",10,"Shaun Suisham","no",NA
"Williams, DeAngelo","foot","Probable","RB",10,"DeAngelo Williams","yes","PIT"
"Cutler, Jay","hamstring","Day-to-Day","QB",10,"Jay Cutler","yes","CHI"
"Jeffery, Alshon","groin","Questionable","WR",10,"Alshon Jeffery","yes","CHI"
"Royal, Eddie","knee","Out","WR",10,"Eddie Royal","no","CHI"
"White, Kevin","leg stress fracture","Day-to-Day","WR",10,"Kevin White","no",NA
"Gurley, Todd","not injury related","Probable","RB",10,"Todd Gurley","yes","STL"
"Mason, Tre","hamstring","Day-to-Day","RB",10,"Tre Mason","yes","STL"
"Reynolds, Chase","thigh","Probable","RB",10,"Chase Reynolds","no",NA
"Bryant, Dez","foot/knee","Probable","WR",10,"Dez Bryant","yes","DAL"
"Butler, Brice","hamstring","Out","WR",10,"Brice Butler","no","DAL"
"Hanna, James","ankle","Probable","TE",10,"James Hanna","no","DAL"
"Romo, Tony","fractured left clavicle","Day-to-Day","QB",10,"Tony Romo","no","DAL"
"Smith, Rod","illness","Probable","RB",10,"Rod Smith","no","SEA"
"Evans, Mike","hamstring","Day-to-Day","WR",10,"Mike Evans","yes","TB"
"Jackson, Vincent","knee","Out","WR",10,"Vincent Jackson","no","TB"
"Seferian-Jenkins, Austin","shoulder","Questionable","TE",10,"Austin Seferian-Jenkins","no","TB"
"Benjamin, Kelvin","torn left ACL","Day-to-Day","WR",10,"Kelvin Benjamin","no",NA
"Cotchery, Jerricho","high ankle sprain","Day-to-Day","WR",10,"Jerricho Cotchery","yes","CAR"
"Dickson, Ed","quadriceps","Probable","TE",10,"Ed Dickson","yes","CAR"
"Stewart, Jonathan","ankle","Probable","RB",10,"Jonathan Stewart","yes","CAR"
"Cassel, Matt","knee","Probable","QB",10,"Matt Cassel","yes","DAL"
"Cobb, David","calf","Injured Reserve (DFR)","RB",10,"David Cobb","no","TEN"
"Mariota, Marcus","knee","Day-to-Day","QB",10,"Marcus Mariota","yes","TEN"
"McCluster, Dexter","ankle","Probable","RB",10,"Dexter McCluster","yes","TEN"
"Murray, DeMarco","groin","Probable","RB",10,"DeMarco Murray","yes","PHI"
"Walker, Delanie","hand","Day-to-Day","TE",10,"Delanie Walker","yes","TEN"
"Wright, Kendall","knee","Out","WR",10,"Kendall Wright","no","TEN"
"Brees, Drew","right shoulder","Day-to-Day","QB",10,"Drew Brees","yes","NO"
"Colston, Marques","not injury related","Probable","WR",10,"Marques Colston","yes","NO"
"Snead, Willie","knee","Probable","WR",10,"Willie Snead","no","NO"
"Davis, Vernon","knee","Day-to-Day","TE",10,"Vernon Davis","yes","SF"
"Jackson, DeSean","strained left hamstring","Day-to-Day","WR",10,"DeSean Jackson","yes","WAS"
"Jones, Matt","sprained toe","Day-to-Day","RB",10,"Matt Jones","yes","WAS"
"Reed, Jordan","concussion","Day-to-Day","TE",10,"Jordan Reed","yes","WAS"
"Roberts, Andre","ankle","Questionable","WR",10,"Andre Roberts","no","WAS"
"Thompson, Chris","back","Probable","RB",10,"Chris Thompson","yes","WAS"
"Bridgewater, Teddy","concussion","Questionable","QB",10,"Teddy Bridgewater","yes","MIN"
"Johnson, Charles","ribs","Day-to-Day","WR",10,"Charles Johnson","no","MIN"
"Patterson, Cordarrelle","shoulder","Probable","WR",10,"Cordarrelle Patterson","yes","MIN"
"Cooper, Amari","quadriceps","Probable","WR",10,"Amari Cooper","yes","OAK"
"Murray, Latavius","concussion","Probable","RB",10,"Latavius Murray","yes","OAK"
"Walford, Clive","quadriceps","Probable","TE",10,"Clive Walford","yes","OAK"
"Kelce, Travis","groin","Probable","TE",10,"Travis Kelce","yes","KC"
"Maclin, Jeremy","concussion","Day-to-Day","WR",10,"Jeremy Maclin","yes","KC"
"O'Shaughnessy, James","foot","Out","TE",10,"James O'Shaughnessy","no","KC"
"Anderson, C.J.","ankle","Probable","RB",10,"C.J. Anderson","yes","DEN"
"Daniels, Owen","shoulder, knee","Probable","TE",10,"Owen Daniels","yes","DEN"
"Green, Virgil","finger","Probable","TE",10,"Virgil Green","yes","DEN"
"Hillman, Ronnie","quadriceps","Probable","RB",10,"Ronnie Hillman","yes","DEN"
"Manning, Peyton","foot","Probable","QB",10,"Peyton Manning","yes","DEN"
"Norwood, Jordan","hamstring","Probable","WR",10,"Jordan Norwood","no","DEN"
"Sanders, Emmanuel","ankle","Questionable","WR",10,"Emmanuel Sanders","no","DEN"
"Edelman, Julian","knee","Probable","WR",10,"Julian Edelman","yes","NE"
"Martin, Keshawn","hamstring","Questionable","WR",10,"Keshawn Martin","no","NE"
"Beckham Jr., Odell","hamstring","Day-to-Day","WR",10,"Odell Beckham Jr.","yes","NYG"
"Cruz, Victor","calf","Out","WR",10,"Victor Cruz","no",NA
"Donnell, Larry","neck","Out","TE",10,"Larry Donnell","no","NYG"
"Johnson, Will","back","Probable","RB",10,"Will Johnson","no","PIT"
"Brown, John","hamstring","Questionable","WR",10,"John Brown","no","ARI"
"Ellington, Andre","knee","Day-to-Day","RB",10,"Andre Ellington","yes","ARI"
"Fells, Darren","shoulder","Probable","TE",10,"Darren Fells","yes","ARI"
"Fitzgerald, Larry","ankle","Probable","WR",10,"Larry Fitzgerald","yes","ARI"
"Floyd, Michael","hand","Day-to-Day","WR",10,"Michael Floyd","yes","ARI"
"Golden, Brittan","groin","Probable","WR",10,"Brittan Golden","no",NA
"Momah, Ifeanyi","knee","Day-to-Day","TE",10,"Ifeanyi Momah","no",NA
"Lockette, Ricardo","neck","Out","WR",10,"Ricardo Lockette","no","SEA"
"Lynch, Marshawn","abdominal","Questionable","RB",10,"Marshawn Lynch","yes","SEA"
"Michael, Christine","illness","Probable","RB",10,"Christine Michael","yes","DAL"
"Willson, Luke","toe","Probable","TE",10,"Luke Willson","no","SEA"
"Foster, Arian","torn right Achilles","Day-to-Day","RB",10,"Arian Foster","no","HOU"
"Griffin, Ryan","sprained MCL","Injured Reserve (DFR)","TE",10,"Ryan Griffin","yes","HOU"
"Miller, Lamar","ankle","Day-to-Day","RB",10,"Lamar Miller","yes","MIA"
"Polk, Chris","knee","Probable","RB",10,"Chris Polk","yes","HOU"
"Shorts III, Cecil","hamstring","Probable","WR",10,"Cecil Shorts III","no",NA
"Cobb, David","calf","Injured Reserve (DFR)","RB",11,"David Cobb","yes","TEN"
"Mariota, Marcus","knee","Day-to-Day","QB",11,"Marcus Mariota","yes","TEN"
"Murray, DeMarco","hamstring","Day-to-Day","RB",11,"DeMarco Murray","yes","PHI"
"Walker, Delanie","hand","Day-to-Day","TE",11,"Delanie Walker","yes","TEN"
"Wright, Kendall","knee","Out","WR",11,"Kendall Wright","no","TEN"
"Gerhart, Toby","groin","Probable","RB",11,"Toby Gerhart","no","JAX"
"Greene, Rashad","thumb","Probable","WR",11,"Rashad Greene","yes","JAX"
"Hurns, Allen","foot, thigh","Probable","WR",11,"Allen Hurns","yes","JAX"
"Ivory, Chris","groin","Day-to-Day","RB",11,"Chris Ivory","yes","NYJ"
"Jacobs, Nic","hamstring","Doubtful","TE",11,"Nic Jacobs","no","JAX"
"Lee, Marqise","hamstring","Probable","WR",11,"Marqise Lee","no","JAX"
"Pierce, Bernard","calf","Doubtful","RB",11,"Bernard Pierce","no","JAX"
"Robinson, Allen","leg","Day-to-Day","WR",11,"Allen Robinson","yes","JAX"
"Robinson, Denard","left knee","Day-to-Day","RB",11,"Denard Robinson","yes","JAX"
"Thomas, Julius","abdomen","Probable","TE",11,"Julius Thomas","yes","JAX"
"Walters, Bryan","concussion","Questionable","WR",11,"Bryan Walters","yes","JAX"
"Yeldon, T.J.","foot","Questionable","RB",11,"T.J. Yeldon","yes","JAX"
"Allen, Dwayne","ankle","Day-to-Day","TE",11,"Dwayne Allen","yes","IND"
"Dorsett, Phillip","ankle","Out","WR",11,"Phillip Dorsett","no","IND"
"Herron, Daniel","shoulder","Day-to-Day","RB",11,"Daniel Herron","no",NA
"Hilton, T.Y.","bruised knee","Day-to-Day","WR",11,"T.Y. Hilton","yes","IND"
"Luck, Andrew","abdomen, kidney","Out","QB",11,"Andrew Luck","no","IND"
"Coleman, Tevin","hamstring","Day-to-Day","RB",11,"Tevin Coleman","yes","ATL"
"Freeman, Devonta","hamstring","Day-to-Day","RB",11,"Devonta Freeman","yes","ATL"
"Hester, Devin","toe","Injured Reserve (DFR)","WR",11,"Devin Hester","no",NA
"Tamme, Jacob","concussion","Day-to-Day","TE",11,"Jacob Tamme","yes","ATL"
"Cunningham, Justice","finger","Questionable","TE",11,"Justice Cunningham","no",NA
"Gurley, Todd","knee","Day-to-Day","RB",11,"Todd Gurley","yes","STL"
"Mason, Tre","hamstring","Day-to-Day","RB",11,"Tre Mason","no","STL"
"Boyle, Nick","foot","Doubtful","TE",11,"Nick Boyle","no","BAL"
"Campanaro, Michael","back","Day-to-Day","WR",11,"Michael Campanaro","no","BAL"
"Flacco, Joe","torn left ACL, MCL","Day-to-Day","QB",11,"Joe Flacco","yes","BAL"
"Gillmore, Crockett","calf","Day-to-Day","TE",11,"Crockett Gillmore","yes","BAL"
"Matthews, Chris","shoulder","Day-to-Day","WR",11,"Chris Matthews","no","SEA"
"Pitta, Dennis","hip","Day-to-Day","TE",11,"Dennis Pitta","no",NA
"Smith Sr., Steve","torn right Achilles tendon","Day-to-Day","WR",11,"Steve Smith Sr.","no",NA
"Wallace, Mike","knee","Day-to-Day","WR",11,"Mike Wallace","yes","MIN"
"Davis, Vernon","knee","Day-to-Day","TE",11,"Vernon Davis","yes","SF"
"Jackson, DeSean","strained left hamstring","Day-to-Day","WR",11,"DeSean Jackson","yes","WAS"
"Jones, Matt","sprained toe","Day-to-Day","RB",11,"Matt Jones","yes","WAS"
"Reed, Jordan","concussion","Day-to-Day","TE",11,"Jordan Reed","yes","WAS"
"Roberts, Andre","ankle","Probable","WR",11,"Andre Roberts","no","WAS"
"Benjamin, Kelvin","torn left ACL","Day-to-Day","WR",11,"Kelvin Benjamin","no",NA
"Brown, Corey","shoulder","Doubtful","WR",11,"Corey Brown","no",NA
"Cotchery, Jerricho","high ankle sprain","Day-to-Day","WR",11,"Jerricho Cotchery","yes","CAR"
"Stewart, Jonathan","leg","Day-to-Day","RB",11,"Jonathan Stewart","yes","CAR"
"Whittaker, Fozzy","hip","Probable","RB",11,"Fozzy Whittaker","yes","CAR"
"Daniels, Owen","knee, shoulder","Probable","TE",11,"Owen Daniels","yes","DEN"
"Green, Virgil","finger","Probable","TE",11,"Virgil Green","yes","DEN"
"Hillman, Ronnie","quadriceps","Probable","RB",11,"Ronnie Hillman","yes","DEN"
"Manning, Peyton","foot, rib cage","Out","QB",11,"Peyton Manning","no","DEN"
"Sanders, Emmanuel","ankle, finger","Questionable","WR",11,"Emmanuel Sanders","no","DEN"
"Cutler, Jay","hamstring","Day-to-Day","QB",11,"Jay Cutler","yes","CHI"
"Jeffery, Alshon","groin, shoulder","Questionable","WR",11,"Alshon Jeffery","no","CHI"
"Royal, Eddie","knee","Out","WR",11,"Eddie Royal","no","CHI"
"White, Kevin","leg stress fracture","Day-to-Day","WR",11,"Kevin White","no",NA
"Smith, Lee","wrist","Doubtful","TE",11,"Lee Smith","no","OAK"
"Bell, Joique","shoulder","Probable","RB",11,"Joique Bell","yes","DET"
"Ebron, Eric","knee","Day-to-Day","TE",11,"Eric Ebron","no","DET"
"Johnson, Calvin","ankle","Probable","WR",11,"Calvin Johnson","yes","DET"
"Stafford, Matthew","left hand","Day-to-Day","QB",11,"Matthew Stafford","yes","DET"
"Amaro, Jace","torn labrum","Day-to-Day","TE",11,"Jace Amaro","no",NA
"Decker, Eric","knee","Probable","WR",11,"Eric Decker","yes","NYJ"
"Fitzpatrick, Ryan","left thumb","Probable","QB",11,"Ryan Fitzpatrick","yes","NYJ"
"Forte, Matt","knee","Questionable","RB",11,"Matt Forte","no","CHI"
"Marshall, Brandon","toe, ankle","Probable","WR",11,"Brandon Marshall","yes","NYJ"
"Powell, Bilal","ankle","Probable","RB",11,"Bilal Powell","yes","NYJ"
"Smith, Geno","broken jaw","Day-to-Day","QB",11,"Geno Smith","no","NYJ"
"Foster, Arian","torn right Achilles","Day-to-Day","RB",11,"Arian Foster","no","HOU"
"Griffin, Ryan","sprained MCL","Injured Reserve (DFR)","TE",11,"Ryan Griffin","yes","HOU"
"Hopkins, DeAndre","knee","Probable","WR",11,"DeAndre Hopkins","yes","HOU"
"Hoyer, Brian","concussion","Out","QB",11,"Brian Hoyer","no","HOU"
"Miller, Lamar","ankle","Day-to-Day","RB",11,"Lamar Miller","yes","MIA"
"Novak, Nick","right thigh","Probable","K",11,"Nick Novak","yes","HOU"
"Polk, Chris","hamstring","Questionable","RB",11,"Chris Polk","no","HOU"
"Bryant, Dez","foot, knee","Probable","WR",11,"Dez Bryant","yes","DAL"
